CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
e3c93472c070613a5406e43de00258fd0f2d63d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
a105a481165b5dee1f8ac04479d2df69010272ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
6bd6284ce1f7e551f72246249b125a89a02c9c1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
c367700f6410beb05e900d5f8f2502ad683b431a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
c501a0d34cf738893cb3777b643a79183f1868c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,100
605573324a328cf52b46483ea21a41b9a871c5d5,2,83,0,83,1,0,1,2,2,19,2,2,0.626177654,157,0,0,18,10,8,1015,560,455,14,10,4,98.98989899
8205ad6174ba8d95f31e4a6cf15eb1119bf65852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
a9985f11a77da18f4673fe75ad765f19fd78ff16,3,61,87,26,0,0,0,1,2,26,2,2,1.499642268,304,6,6,24,28,4,1237,1477,240,13,16,3,98.98989899
2eaf6bb3de9f2fce0af5fe0cb85db8876d74de77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,100
1b2d28be9f5f594806ecf72a9b3d02027c6003db,3,6,6,0,0,0,0,1,2,42,1,3,1.251629167,288,8,4,47,47,0,1901,1901,0,16,16,0,100
ef1660677e64884d76d270ed54844434d4429f90,3,179,4,175,1,0,1,2,3,38,2,2,1.232899371,271,0,0,41,21,20,1786,1103,683,21,15,6,98.98989899
6981b7c0785bd868cf725a024161c6f6553a9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,100
0e4e55afa463ce88cf59c5b49c17e48aeb87e69d,4,227,179,48,1,0,1,1,2,9,2,3,1.54870251,403,0,0,66,41,25,2368,1786,582,26,21,5,98
01b86fdda0af558d0841b88842f78bab3ace83d7,4,179,227,48,1,0,1,2,3,30,2,3,1.54870251,445,1,1,41,66,25,1786,2368,582,21,26,5,98
a4f11962ecf50bd58fa1e1b86ae0c489663ed49d,2,161,0,161,1,0,1,2,4,4,2,2,0.666578358,224,2,2,30,13,17,1465,773,692,18,13,5,99.00990099
713cd8b4e893cb2094f7063ff6eff6e246185147,6,257,340,83,1,0,1,2,2,22,2,4,2.136671468,546,1,1,69,60,9,2744,2753,9,29,28,1,97.02970297
f6c3b02a655574a0fae306a321fe986d01ee3d9b,1,22,3,19,0,0,0,1,3,1,1,1,0,174,2,2,45,45,0,1265,1265,0,11,11,0,100
966bd53ad6f315e5d76aace5ad4cd4c211d75478,6,340,276,64,2,0,2,1,4,15,2,4,2.110660686,487,10,1,60,69,9,2753,2744,9,28,29,1,97.02970297
d9ec0137f4e1567f9eb01f2a88b4238c8d59aceb,2,83,0,83,1,0,1,3,6,4,2,2,0.626177654,247,11,2,22,14,8,1283,828,455,18,14,4,99.02912621
0b26cb7f41441f91055ca37382bdb472131244d0,2,272,0,272,1,0,1,2,3,46,2,2,0.307871414,32,12,3,48,2,46,1641,275,1366,14,2,12,99.04761905
0e534bc08dca50126de012657cc22820edb17f69,6,47,432,385,0,0,0,1,4,6,2,3,2.394151231,755,3,3,72,111,39,2500,4198,1698,31,41,10,97.08737864
a7d4a33f4e85f992708750ee990540480b42bdf1,5,423,4,419,3,0,3,3,6,17,2,2,2.129806314,271,13,4,66,21,45,2933,1103,1830,30,15,15,97.08737864
6d101c64adab2a1539c07320c6bb9be07060ee9e,1,9,43,34,0,0,0,1,3,1,1,1,0,204,13,4,45,51,6,1265,1397,132,11,16,5,100
61f6d111c802345affdc2acf40624383773f79e3,1,43,9,34,0,0,0,1,4,0,1,1,0,174,15,6,51,45,6,1397,1265,132,16,11,5,100
81f8e0eb32151e7082400826ca2e29330641689e,6,33,460,427,0,0,0,1,5,6,2,3,2.41264848,785,4,4,70,117,47,2471,4330,1859,29,46,17,97.08737864
7c9389bdfbfea6084d09558f463e2862de279bec,5,423,4,419,3,0,3,3,6,17,2,2,2.129806314,271,16,7,66,21,45,2933,1103,1830,30,15,15,97.08737864
0b2901a28d09bdcea7cc31d8fec837562585877e,1,2,2,0,0,0,0,2,6,1,1,1,0,198,17,8,49,49,0,1377,1368,9,14,14,0,100
04d7eb13b3f5f9da3a20e9338c836c45f5e37239,1,96,42,54,0,0,0,1,2,98,1,1,0,238,18,9,40,30,10,1668,1520,148,9,6,3,100
abffeeb65147865b5bc7c7754e075a7945f9ffd8,1,5,4,1,0,0,0,1,3,54,1,1,0,126,19,10,16,16,0,882,862,20,7,7,0,100
dc73d92d6e1e2a1a3e62285f31f905f0552f177f,1,52,28,24,0,0,0,1,2,98,1,1,0,96,20,11,16,15,1,707,668,39,8,5,3,100
25f750a1b5ab06cecc605618ef4a44173639db41,2,23,57,34,0,0,0,1,4,29,1,2,0.790858091,189,21,12,20,23,3,982,1296,314,8,10,2,100
be7730dda2a00d33970465b1ee4c4f2f619b6bd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,0,0,0,0,0,0,0,0,0,100
518454fb90696a1664623d12e6ba6448b55202cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,100
c95f5362a537098a617bb7f2e9a2af799df52a14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,100
944521956fc99f9ae1872ca692fdc85e02c28f47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,100
08072e6057b8146143b47ab0c4443ae81563611c,1,37,61,24,0,0,0,1,3,216,1,1,0,120,26,0,15,16,1,668,707,39,5,8,3,100
96d96dfbb04329b92e71d9c70ee55a7b68bcc29a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,100
c02e2afff16c53157a0b14e087a7932a2fa66b85,2,41,0,41,0,0,0,2,4,113,2,2,0.964956767,138,28,2,26,18,8,1278,1044,234,9,8,1,100
98edc8ad24a164161c20c325478f81cef4a6e04c,7,198,40,158,2,0,2,2,7,121,2,3,2.481704692,538,29,3,122,103,19,4481,3613,868,45,37,8,97.68518519
0b14bdfde1b8702177025014aa1bbaa3fd500b37,3,93,9,84,0,0,0,2,8,0,2,2,1.231374529,350,30,4,72,68,4,2846,2592,254,27,25,2,100
c9d07de47c307bdc9e448787aa1c86c03ca6f8fb,6,68,21,47,0,0,0,1,9,98,1,1,1.971901082,561,31,5,104,104,0,3615,3615,0,34,34,0,100
a78f37e8828574ec4c4a475ec6c2a9b355421d13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,100
85f22d87f66d068ae7a59b30eafc15c3584d8d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,0,0,0,0,0,0,0,0,100
44fae61fc018c58bfab41ee9061ca8ab1e3aec3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,100
1609d33e3de0d9d97a82eb9285ff47743bd0bbe6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,100
2699e4a0406339ccca0abd55abc868cd174470b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,100
70ce599d031f5f899137a07dc019e2500568f492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,0,100
9cb66fa2b626c100c3f583bbf30458a2cb794835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,0,0,0,0,0,0,0,100
184930d2f26c4c1e38d970b0902d1130b485cbd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,0,0,100
96680bd981dd79acf75a97b942dc97a1783d9e86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,0,0,0,0,0,0,0,0,100
f48b5d399f5f1d604b430a59bc1b2143141e8ce9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,0,100
d063937519f6365958e26a1750dfdd30686613ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,0,0,0,0,0,0,0,0,0,100
8af67576c9221d4adaf6b316bc5a30816470600f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0,0,0,0,0,0,0,0,0,100
f3e8af44de6bb1268b17e3acbdb22dfb68f9f39c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0,0,0,100
b8dc70888611d5850b1cce5fa7e28cf76f92cfdb,4,189,22,167,0,0,0,1,3,461,2,4,1.292162778,961,45,0,167,138,29,6453,5814,639,66,58,8,100
850ba2d40fd45d8d0811bd42051977defed10acf,2,69,0,69,1,0,1,2,6,155,2,2,0.996208884,124,46,0,17,12,5,1602,1077,525,12,9,3,96.875
ac7f823e214b255297b625cae47f9aefde9d6ff0,2,59,23,36,0,0,0,2,7,0,2,2,0.839004061,177,47,1,23,17,6,1642,1602,40,13,12,1,100
e7dd686f6637bc890b99aaee2e1cf495b7a2e2b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,100
8906856b163115c650fd993ed13d2f0f3e29dbe1,2,38,5,33,0,0,0,2,8,2,2,2,0.446481347,197,49,3,27,23,4,1780,1642,138,14,13,1,100
1da8dbbb58b21d188310d9bbf5d3df5fc3ae391c,1,9,1,8,0,0,0,2,3,636,1,1,0,93,50,0,15,14,1,534,507,27,5,5,0,100
635106ce7f3ea22a6f4b1c06931736dca20bae4a,2,3,11,8,0,0,0,1,4,143,1,2,0.863120569,437,50,0,65,66,1,2385,2416,31,14,14,0,100
6fcb8f869d5bef2cdbe924c32e845765253234bf,1,9,1,8,0,0,0,2,3,636,1,1,0,93,52,1,15,14,1,534,507,27,5,5,0,100
f913a3442808f47bc6b6e536cb18cccfcc555db2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,100
53ec13942a8abdce338e6a07f62769b736fee147,3,239,16,223,0,0,0,2,10,514,2,2,0.843239043,425,54,1,101,82,19,4827,3243,1584,42,28,14,99.56140351
6cc6f2fae471f3542de98ffd2aa4a9505eb17de7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,100
7af1c284400a0465210b1e1be4dfd0deae56ee7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,100
33fdc32352879fe577c06381e70bfe98370ef23a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,100
7399e12b1e98ccd89ee16beeab0da748e22e61d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,0,0,0,0,0,0,0,100
1bed9a5edec65ebe46dfc54d0c0aa30640c78f75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,100
eaa03e94e58016a5bf1e8fcc7b1c41d1635c7d09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,100
5a6fb815e21455c05a848f4c22b187c6ecb63f90,2,17,53,36,0,0,0,2,7,1083,1,2,0.749595257,320,0,0,20,20,0,1178,1287,109,19,19,0,100
0c53ba762dd3e10a6ac31c2430b126720bb7e5fe,6,1824,0,1824,6,0,6,1,1,0,2,2,2.495961976,0,0,0,290,0,290,10061,0,10061,81,0,81,95
a617a14589da166591b6b90d7ba13d4945f6f9d9,1,2,2,0,0,0,0,1,2,2,1,1,0,290,1,1,60,60,0,2077,2077,0,16,16,0,100
422d53cf2926b8e9b9d024b8bf1d4dc939b627fa,2,47,0,47,0,0,0,1,3,1,2,2,0.903453555,356,2,2,67,65,2,2811,2662,149,23,21,2,100
5e4706bbacae8bd88c53617c7481b8f8ee7d1af8,6,85,33,52,0,0,0,1,4,6,2,2,2.509742713,1486,3,3,294,292,2,10554,10210,344,85,83,2,100
e4f4a3bb1cb129d065e7947e0c81837f64ce318a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
0d99577f3da8f9f4114292c317eede66aceb3a89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
3e96d0cd52a5ed8ac2c3dd8da87c6ce16cc22cac,10,155,10,145,0,0,0,2,5,366,1,2,3.317019765,1684,2,2,329,329,0,11250,11250,0,88,88,0,100
f60cf6b5dee6b5cf4cd34ea177e99137d5616c81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
b1eff33e1d7af2d19226e8e84e8b4587c55731be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,100
1b92a66a8512d0692d3b48510971895ec259c51d,1,8,6,2,0,0,0,2,5,1078,1,1,0,116,4,3,15,15,0,707,707,0,6,6,0,100
756788b8ac1ff47e010fbcb420c9854527601116,1,24,28,4,0,0,0,3,4,25,1,1,0,61,5,4,4,5,1,137,275,138,2,2,0,99.6031746
31803724cd0d0e9e1c7647cde39a33e7e13c9dfc,1,2,2,0,0,0,0,3,5,0,1,1,0,41,6,5,4,4,0,137,137,0,2,2,0,100
a1f69ecc57c038fa21ce0f74d23ce4dac982186f,2,111,1,110,1,0,1,1,4,305,1,2,0.371232327,162,62,1,37,31,6,1537,1034,503,18,13,5,99.21259843
550b582c5605245696ae7aabb850be5bec4dae08,1,7,0,7,0,0,0,1,2,6,1,1,0,80,63,2,5,5,0,467,467,0,4,4,0,100
cf1e3d7dccabc0955bbc2c33520b0aa680dbaf83,5,219,140,79,1,0,1,0,8,154,2,4,2.001446818,567,4,0,73,67,6,3253,2886,367,41,38,3,97.27626459
517356e7f3e2ef30e7ab42a5af12eed8a91a9adc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100
65e5512c609f7c81c97303c1fa875cf66de24fbd,2,6,1,5,0,0,0,2,5,10,1,1,0.863120569,203,7,3,26,26,0,1071,1071,0,12,12,0,100
02d8b2e549a1c01e7e9fd2bea9e8249c7b4e7e69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,100
dd63ca0683eacab9798cdb8fe984a603528ac1cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,100
4ebc93ca45438db92982a9bfa19e73948cfab4ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,100
2e6dc57d9a34f9e26f4b707840cbbff5fbb000dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,100
d9bd10cf8dde070661ab2d07c06d30198a753578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0,0,100
ae3330d92b44959333f6fe9dead6537de2266cf2,1,1,1,0,0,0,0,3,6,195,1,1,0,308,65,3,60,60,0,2099,2099,0,16,16,0,100
f26e47c8239427845d9997ae815344fd5c86229a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4,0,0,0,0,0,0,0,0,0,100
08301f4ff5b6b1c716e8d92ef2be3f7631aa4acd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
dc33e0b70be7bfe17056faeec016b2e8d70d74af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
39f7674ee9b56315cfc00f0a8c7c82b2e0dc8af2,8,60,263,203,0,0,0,2,7,691,2,6,2.268398479,1022,4,0,118,130,12,4858,5623,765,48,56,8,97.64705882
df85e7196f0629abeea4a82dbfc5f9bb7729956b,6,256,57,199,1,0,1,5,8,222,2,4,2.084622956,805,67,0,121,110,11,5162,4430,732,52,44,8,97.64705882
50e827665090fc08d5764322c4d665a4e895ad94,2,33,13,20,0,0,0,3,3,721,2,2,0.965636133,130,0,0,20,17,3,867,695,172,9,8,1,98.84169884
4957df689048a9d9e44628e2b12c0c7771346810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,100
784977d4216e306c346ed3a2bd8956814e5c5de4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
0dffc6f121c552d0146e2366b783077ca899be6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0,100
5dcd1a771c8cd79485af86c60bd0acba81c7ea94,5,69,38,31,0,0,0,1,5,280,2,4,1.8837183,583,0,0,104,100,4,3797,3676,121,30,30,0,98.84169884
e20dac78e4127e262ed02b72266fcf41ae56cbaf,1,3,3,0,0,0,0,2,4,0,1,1,0,114,1,1,21,21,0,749,753,4,5,5,0,100
48516733d1ec9a70223a73d551d099c6a732881a,1,2,2,0,0,0,0,2,5,0,1,1,0,114,2,2,21,21,0,749,749,0,5,5,0,100
a459cc7c4360b727e254015b66603ebdc933b787,4,38,22,16,0,0,0,3,6,760,2,3,1.595000038,490,70,2,85,83,2,3183,3044,139,26,25,1,98.84169884
fb76eccaf1aaf84ef4ff03186c713e6e3d104069,4,21,84,63,0,0,0,1,2,11,2,3,1.783015904,309,67,0,38,46,8,1438,1833,395,13,15,2,98.84169884
2322b5df5a9e5560fe13b0448ee1e942c4c15491,4,84,21,63,0,0,0,3,5,712,2,3,1.783015904,262,72,4,46,38,8,1833,1438,395,15,13,2,98.84169884
e7215753f993e8399936d80807b8caeba1bd1ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,100
5a7d69af9fd905da92ed0666a9f52a43de31ec6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,0,0,0,0,0,0,0,0,0,100
3762d57fd0e73875ee22f52ff4df5a08e92e1d1b,2,27,1,26,0,0,0,5,9,272,2,2,0.591672779,374,5,0,32,31,1,1815,1736,79,25,24,1,100
88a240d7d12b401c2120477fb223339ec7920fa0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,100
8c3566c16887e203484828dca2199e25c40a3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,100
3abab0b1d45fed1ad066b224e94ec44054c30092,1,6,6,0,0,0,0,5,10,0,1,1,0,280,8,3,17,17,0,1209,1209,0,17,17,0,100
833a553fcaf3a760205fa26a7db51ce287dad333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7,0,0,0,0,0,0,0,0,0,100
dd16fce7c3c6b76a845f30db10e9c036ad1a5ebb,3,410,74,336,2,0,2,5,11,1,2,2,1.57915899,280,3,0,58,17,41,2491,1209,1282,28,17,11,97.33840304
f0112a819594ad89725f209a8a9b182c3f3c5b30,3,74,410,336,0,0,0,5,10,0,2,2,1.57915899,507,76,6,17,58,41,1209,2491,1282,17,28,11,97.33840304
3d23580ef2447e44cbe03825f7b5ea8f159c389a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7,0,0,0,0,0,0,0,0,0,100
89bbc3f8f8d00899383f157d62d4c30169f5f112,3,410,74,336,2,0,2,5,11,1,2,2,1.57915899,280,4,1,58,17,41,2491,1209,1282,28,17,11,97.33840304
716c183959f7b49f2491364ff392a501e0bf39a5,2,119,72,47,0,0,0,5,12,2,2,2,0.978358512,400,5,2,46,40,6,2179,1809,370,26,24,2,98.87640449
1cce20f4ac8c01037a4c5d262f3ca9a6c5a0de8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,8,0,0,0,0,0,0,0,0,0,100
75a1c069a052d899482d789b80b2f4f49f1682c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9,0,0,0,0,0,0,0,0,0,100
e3a84da3221273ef7843cb0a2573130a49262d21,2,118,1,117,1,0,1,1,4,308,1,2,0.355488678,162,82,10,37,31,6,1537,1034,503,18,13,5,99.25925926
973a7f6d6d9069f9f35b00a3d53b3f6854f082f8,2,8,119,111,0,0,0,0,4,494,1,2,0.546321213,247,80,0,32,37,5,1080,1537,457,13,18,5,99.25925926
6d516bf5ac4c6a6495b5907519fbe9b42703ee0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100
e2311f959b1505e73a66361f4e0df355ab810a39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,100
b1a0f8ec236ab98ff455bc7e398f8edc80defc23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,0,0,0,100
1f48f56b4d7f3feb2fd977fb6e6b842061806a8f,2,118,1,117,1,0,1,1,6,13,1,2,0.355488678,168,86,3,38,32,6,1583,1080,503,18,13,5,99.25925926
2ddace090c8fa1c0ea584bb1eb511c3043ce6341,1,9,0,9,0,0,0,1,7,0,1,1,0,173,87,4,34,33,1,1178,1116,62,15,14,1,100
f49eafd012bb80e7a08ab4a69da83e3370986352,1,10,4,6,0,0,0,1,8,0,1,1,0,181,88,5,35,34,1,1222,1178,44,16,15,1,100
b2c4538dccb50bc614f35621b0ab30ff0a695946,2,4,136,132,0,0,0,0,4,494,1,2,0.735985802,267,83,3,32,40,8,1080,1689,609,13,20,7,99.25925926
8cc1997f7e3004d294add3c7f8ab446807e10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,4,0,0,0,0,0,0,0,0,0,100
ceb8779bc3deaad6ae971a33c30024830a62ec55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,100
582dbbf4552d7c90a8503329d60dda4c238a0d51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5,0,0,0,0,0,0,0,0,0,100
5267560b90ae463aa8c8c70c70c19ef789b1b032,1,18,3,15,0,0,0,1,9,2,1,1,0,168,89,6,34,32,2,1186,1080,106,15,13,2,100
02fcf40bb51908af3bac075d47309328d71cd7ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,7,0,0,0,0,0,0,0,0,0,100
061e006d6f50b044f0cbe6d4f06476f0674044a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,100
3f7f08255b15e96773e2d095fa65551ab64687e8,1,3,18,15,0,0,0,1,4,989,1,1,0,182,86,6,32,34,2,1080,1186,106,13,15,2,100
3fa0932eb99b6767bacc1151f41aac6c7a531205,1,18,3,15,0,0,0,1,9,2,1,1,0,168,96,13,34,32,2,1186,1080,106,15,13,2,100
88d5b3fed18508764c353dd17e9973656247cbed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,14,0,0,0,0,0,0,0,0,0,100
198fad06d631b543ccc2ff4a5273fef997beb794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,15,0,0,0,0,0,0,0,0,0,100
0aaf90211862f8a72b6a1bee4fd3f1c91964f8a3,2,12,6,6,0,0,0,6,13,163,2,2,0.503258335,424,0,0,36,36,0,1995,1952,43,29,29,0,100
b17612ed42b66ce76a3e9529902439d18f4600fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,100
bce41b901d19b3c2b62f259a6f8822b6524d0a56,1,1,3,2,0,0,0,5,8,0,1,1,0,116,100,1,15,15,0,590,614,24,8,8,0,100
23bf98b1b00223213ede5076f14e6b64bb816e81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100
cb073e3b881aaaa2951e9bdb15f9a952466e7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,100
165565441c157570fcc89e4eeccb15f74ab089a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2,0,0,0,0,0,0,0,0,0,100
eaa18e9594f8a15af0d375d251ece7323c68a5bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,3,0,0,0,0,0,0,0,0,0,100
c95a03451002413e6dbbfe00ed1841a4e6528668,1,1,1,0,0,0,0,2,10,722,1,1,0,294,103,4,28,28,0,2776,2776,0,24,24,0,100
44b04835651db07b9b0b7bf6546f3bbe294a029c,1,1,1,0,0,0,0,2,11,0,1,1,0,294,104,5,28,28,0,2776,2776,0,24,24,0,100
e21cb1458baf8abc2c17ad055b7fe96ba29f8a08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,3,0,0,0,0,0,0,0,0,0,100
d0c1bb5e3bf63ebd28ad8e254a06a6a1daf4c104,1,1,1,0,0,0,0,1,2,1754,1,1,0,38,103,0,3,3,0,116,116,0,1,1,0,100
91c8c751941b7060f6d5b66caef1e5897914e937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,100
1fd48810b6d8d05a9057e71392d32160b9b96bf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,100
2341fd52d58d66b62461eb4c6261884b0e9c0b32,1,2,3,1,0,0,0,3,11,979,1,1,0,267,0,0,64,64,0,1842,1838,4,17,17,0,100
3b830d24ee9f008b6df18c54b83ce7856a2dadbf,1,14,2,12,0,0,0,4,12,0,1,1,0,266,6,0,66,64,2,1892,1842,50,17,17,0,100
e6fa1db0ebd5e20da2dff6da3fc8fab12970b5d6,1,1,1,0,0,0,0,2,3,449,1,1,0,134,105,1,25,25,0,833,833,0,5,5,0,100
6aa8fba660b881a9934f91d6e85930057be0e021,2,137,5,132,0,0,0,6,14,370,2,2,0.816811428,419,106,2,51,39,12,2747,2063,684,29,25,4,99.62686567
d063733891ab48169a5f5419e427e8eda2409372,7,571,151,420,3,0,3,6,14,129,2,4,1.971147296,950,6,0,233,142,91,8074,5472,2602,89,51,38,97.09090909
657af7cbca4b23c03e2319d72cce8e379206a9c4,4,151,8,143,0,0,0,6,16,225,2,3,1.275900394,830,7,1,143,129,14,5513,4775,738,52,48,4,99.64539007
b7fc061f6759fae79c09e32de811fb040297b01e,1,1,1,0,0,0,0,1,2,0,1,1,0,179,8,2,63,63,0,1619,1619,0,28,28,0,100
98e7ae283280738a0097eaa74786af83b7d3b1d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3,0,0,0,0,0,0,0,0,0,100
c9b4f76181c1ee892442969cc9d28537b6eba65e,7,188,594,406,2,0,2,1,15,0,2,5,2.160015981,934,10,1,63,160,97,3414,6166,2752,33,69,36,94.62365591
2e288ea53f03d6feb681b1860cf9a4bbee8f0380,4,563,0,563,3,0,3,6,18,0,2,3,1.302898003,387,11,2,133,28,105,5251,1911,3340,62,20,42,97.52650177
f5ad41c4152a67bd8e68556d23b1daebb8cf4602,1,0,20,20,0,0,0,1,2,0,1,1,0,101,12,3,4,5,1,385,484,99,4,5,1,100
737a808f8caf15efa6b7f3db1537176fc97c3579,4,31,168,137,0,0,0,0,16,112,2,4,1.547749859,645,111,4,56,63,7,2867,3356,489,28,33,5,97.2027972
